variable,PC1,PC2
count_gif,0.5739837361151052,0.7825043141943466
heatwave_days,0.8863975128570865,0.2949661495755728
heatwave_events,0.9108165610025399,0.24026699250486921
prevention_lag2,-0.7479780882659581,0.6286245666864277
total_investment_lag2,-0.6055663823303394,0.758370640704318
