predictor,mean_R2_over_other_exogenous,median_R2_over_other_exogenous,max_R2_over_other_exogenous
prevention_lag2,0.34867973251574336,0.25919887437664435,0.6291056759322019
heatwave_events,0.29090841077557716,0.25919887437664424,0.5294619573554227
total_investment_lag2,0.26947733983072003,0.09526194296529411,0.6291056759322018
heatwave_days,0.2608195158530336,0.15773464723838382,0.5294619573554227
