model_id,parameter,estimate,std_error,p_value,ci95_low,ci95_high,standardized,effect_unit,IRR_natural,IRR_ci95_low,IRR_ci95_high,pct_change_natural
NB-AR1,intercept,3.2458289528318733,0.15833797628648294,2.18093209872109e-93,2.9354922219254096,3.556165683738337,False,,,,,
NB-AR1,feedback_ar1,-0.053721208516969626,0.17960981481313898,0.7648641162560399,-0.40574997682063074,0.29830755978669143,False,,,,,
NB-AR1,alpha_nb2,0.4371691134627802,0.14880041296508262,0.0033038356992366436,0.14552566316653137,0.728812563759029,False,,,,,
NB-AR1+HE,intercept,3.175184510669561,0.13779684787202082,1.7488153893462157e-117,2.9051076516572554,3.445261369681867,False,,,,,
NB-AR1+HE,heatwave_events,0.41007266060947034,0.15792007626058596,0.009412131812968018,0.10055499870290308,0.7195903225160376,True,+1 episodio de ola de calor,1.360022525273177,1.0783188366435592,1.7153194457845118,36.0022525273177
NB-AR1+HE,feedback_ar1,0.0965640722022928,0.14179503452663902,0.4958641109321933,-0.18134908865653315,0.37447723306111874,False,,,,,
NB-AR1+HE,alpha_nb2,0.31533783028449563,0.11403947159258083,0.005689420099714436,0.09182457314705861,0.5388510874219327,False,,,,,
NB-AR1+P2,intercept,3.0974311550649447,0.15699144798656486,1.1932229638473591e-86,2.7897335711304843,3.405128738999405,False,,,,,
NB-AR1+P2,prevention_lag2,-0.020414566477651497,0.15906975187762434,0.8978821275715615,-0.33218555118751786,0.29135641823221486,True,+1 EUR real/ha de prevencion (t-2),0.9923292884068895,0.8822331650089446,1.1161645874196309,-0.767071159311046
NB-AR1+P2,feedback_ar1,-0.21311196488806328,0.1783084824464715,0.23201401010946687,-0.5625901686211399,0.13636623884501325,False,,,,,
NB-AR1+P2,alpha_nb2,0.37297667339591745,0.13918137958024476,0.00736686698837775,0.10018618210003921,0.6457671646917957,False,,,,,
NB-AR1+I2,intercept,3.093054716969097,0.15579202910105744,1.0229257043632452e-87,2.7877079508526084,3.3984014830855855,False,,,,,
NB-AR1+I2,total_investment_lag2,0.08384118289636668,0.16362791009181987,0.6083786097770796,-0.2368636277491583,0.40454599354189164,True,+1 EUR real/ha de inversion total (t-2),1.015340659069071,0.9579012918737235,1.076224306934871,1.5340659069071096
NB-AR1+I2,feedback_ar1,-0.18759872558754287,0.17321362786727462,0.2787869839471163,-0.5270911978389246,0.15189374666383887,False,,,,,
NB-AR1+I2,alpha_nb2,0.3662234176929012,0.1371723228077712,0.007589520310302605,0.0973706053139674,0.6350762300718349,False,,,,,
NB-AR1+HE+P2,intercept,2.9650196965335254,0.10021398453913412,2.2037849045550373e-192,2.7686038960895685,3.1614354969774823,False,,,,,
NB-AR1+HE+P2,heatwave_events,0.5825655015289384,0.12231702972214466,1.9097185056920676e-06,0.34282852857761953,0.8223024744802572,True,+1 episodio de ola de calor,1.5119025760771603,1.2753996331793587,1.7922612960539372,51.19025760771604
NB-AR1+HE+P2,prevention_lag2,0.34459800206924357,0.1216311071274136,0.0046093137867607185,0.10620541269977984,0.5829905914387072,True,+1 EUR real/ha de prevencion (t-2),1.1388065399354996,1.0408734379237787,1.2459539153835462,13.88065399354996
NB-AR1+HE+P2,feedback_ar1,-0.16913203641457733,0.10915977504461472,0.1212858557672213,-0.3830812640625163,0.04481719123336167,False,,,,,
NB-AR1+HE+P2,alpha_nb2,0.1096205115357527,0.05443793326030837,0.044043268346280154,0.0029241229527531554,0.21631690011875224,False,,,,,
NB-AR1+HE+I2,intercept,2.977063063362634,0.10316317658146378,4.043795428443921e-183,2.774866952732219,3.179259173993049,False,,,,,
NB-AR1+HE+I2,heatwave_events,0.4878487655516039,0.10812297866531714,6.422511025942431e-06,0.2759316214663896,0.6997659096368182,True,+1 episodio de ola de calor,1.4136302469174034,1.216273622901594,1.643010616502896,41.363024691740335
NB-AR1+HE+I2,total_investment_lag2,0.29044669417778796,0.1162369553255884,0.012463340326437086,0.06262644806704346,0.5182669402885325,True,+1 EUR real/ha de inversion total (t-2),1.0541558939624165,1.0114368399436506,1.0986792302696935,5.415589396241641
NB-AR1+HE+I2,feedback_ar1,-0.2128566813713323,0.10140498008490964,0.03581027003131741,-0.41160679019075663,-0.014106572551907975,False,,,,,
NB-AR1+HE+I2,alpha_nb2,0.1225242071194895,0.05889869313616156,0.03750229587325817,0.007084889836136352,0.23796352440284263,False,,,,,
NB-AR1+HD+P2,intercept,3.0051921181797074,0.12043910439481065,2.033130495686483e-137,2.769135811235619,3.241248425123796,False,,,,,
NB-AR1+HD+P2,heatwave_days,0.48422147413464184,0.13685589395692477,0.0004028876404417621,0.21598885090703646,0.7524540973622472,True,+10 dias de ola de calor,1.5467944112117924,1.2147786129233222,1.969554719767738,54.67944112117923
NB-AR1+HD+P2,prevention_lag2,0.22832267619384083,0.12648995069650065,0.07106439573430234,-0.019593071577547583,0.47623842396522925,True,+1 EUR real/ha de prevencion (t-2),1.089939607080619,0.99263682336069,1.1967804529566475,8.993960708061909
NB-AR1+HD+P2,feedback_ar1,-0.13506985012159414,0.13996644484746645,0.3345368287298167,-0.4093990410667402,0.13925934082355193,False,,,,,
NB-AR1+HD+P2,alpha_nb2,0.19216695239258427,0.08228237256408945,0.019519553752432698,0.030896465604462298,0.35343743918070625,False,,,,,
