component,explained_variance_ratio,cumulative_variance
PC1,0.5404097038785938,0.5404097038785938
PC2,0.3251465662756735,0.8655562701542673
PC3,0.061875903452962316,0.9274321736072296
PC4,0.04343586135267706,0.9708680349599067
PC5,0.02913196504009355,1.0000000000000002
