model_id,n,loglike,AIC,BIC,alpha_nb2,converged
NB-AR1,19,-78.41434751968386,162.82869503936772,165.66201197686703,0.4371691134627802,True
NB-AR1+HE,19,-75.41433756119807,158.82867512239613,162.6064310390619,0.31533783028449563,True
NB-AR1+P2,17,-66.93576672818014,141.87153345636028,145.20438683258516,0.37297667339591745,True
NB-AR1+I2,17,-66.7879738417552,141.5759476835104,144.90880105973528,0.3662234176929012,True
NB-AR1+HE+P2,17,-58.28834896229339,126.57669792458678,130.74276464486786,0.1096205115357527,True
NB-AR1+HE+I2,17,-58.96060095706782,127.92120191413564,132.08726863441672,0.1225242071194895,True
NB-AR1+HD+P2,17,-61.873483569194306,133.7469671383886,137.91303385866968,0.19216695239258427,True
