backend,model_id,year,observed,predicted_mean,predicted_median,pi90_low,pi90_high,covered_90,crps,abs_error
NB-AR1 (PyMC),NB-AR1,2024,16.0,27.3646875,21.0,4.0,69.0,True,4.710768261718751,11.364687499999999
NB-AR1 (PyMC),NB-AR1,2025,63.0,27.5225,22.0,5.0,70.0,True,27.768729882812497,35.4775
NB-AR1 (PyMC),NB-AR1+HE+P2,2024,16.0,24.6034375,22.0,8.0,51.0,True,4.025461621093749,8.603437499999998
NB-AR1 (PyMC),NB-AR1+HE+P2,2025,63.0,25.17875,22.0,8.0,51.0,False,30.99943828125,37.82125
