parameter,mean_beta,q025_beta,q975_beta,irr_mean,irr_q025,irr_q975,prob_negative,rhat
heatwave_events,0.6372791399190898,0.34326579247051775,0.9258223306047862,1.5801741918210264,1.2757954099488078,1.9288660989263753,0.0,1.0034244754726882
prevention_lag2,0.38300149618760043,0.09517017332409317,0.6791995896166892,1.1572263040717672,1.0365498664483859,1.2919995228099372,0.005625,1.0007829758352116
beta0,2.9741021218561023,2.6570144406634975,3.4592692688858815,,,,0.0,1.0066908617056554
rho,-0.15919332723336485,-0.9424327597288219,0.9056632280284447,,,,0.6315625,1.011013043614115
sigma_u,0.23140837572683765,0.010926153164206514,0.5716965694271945,,,,0.0,1.0032216344541909
alpha_disp,10.24681340306251,3.0156749551532642,22.674687307430894,,,,0.0,1.0029256902021344
