parameter,mean_beta,q025_beta,q975_beta,irr_mean,irr_q025,irr_q975,pct_mean,prob_negative,rhat
heatwave_days,0.5006437426953709,0.17300050727615027,0.8137507670873301,1.586598483849583,1.1686372764035993,2.0813636322857128,58.6598483849583,0.0028125,1.0002038966865459
prevention_lag2,0.23516423494079994,-0.09206387609604161,0.5417029487197937,1.094730490250877,0.9658699504429444,1.2267003473011908,9.473049025087699,0.0696875,1.0005406102735908
beta0,2.9835054948987665,2.660606350201921,3.3142124491112623,,,,,0.0,1.002588305543583
rho,-0.05139196316092311,-0.8959609217728033,0.8903819869730906,,,,,0.546875,1.0069170440138888
sigma_u,0.28307253526133086,0.01636135797473703,0.6840535457288072,,,,,0.0,0.9999565642779539
alpha_disp,7.942824174213299,2.12264921118873,20.918747247341518,,,,,0.0,1.0012271384121774
