year,count_by_aug2,final_count,aug2_fraction_of_final,final_to_aug2_ratio
2016,5.0,22.0,0.22727272727272727,4.4
2017,14.0,56.0,0.25,4.0
2018,2.0,3.0,0.6666666666666666,1.5
2019,11.0,15.0,0.7333333333333333,1.3636363636363635
2020,5.0,19.0,0.2631578947368421,3.8
2021,12.0,18.0,0.6666666666666666,1.5
2022,42.0,56.0,0.75,1.3333333333333333
2023,16.0,19.0,0.8421052631578947,1.1875
2024,12.0,16.0,0.75,1.3333333333333333
2025,15.0,63.0,0.23809523809523808,4.2
