year,count_by_aug31,final_count,aug31_fraction_of_final,final_to_aug31_ratio
2015,14.0,16.0,0.875,1.1428571428571428
2016,13.0,22.0,0.5909090909090909,1.6923076923076923
2017,21.0,56.0,0.375,2.6666666666666665
2018,3.0,3.0,1.0,1.0
2019,13.0,15.0,0.8666666666666667,1.1538461538461537
2020,10.0,19.0,0.5263157894736842,1.9
2021,16.0,18.0,0.8888888888888888,1.125
2022,55.0,56.0,0.9821428571428571,1.018181818181818
2023,17.0,19.0,0.8947368421052632,1.1176470588235294
2024,16.0,16.0,1.0,1.0
