target_year,model,heatwave_days_scenario,prevention_lag2_eur_per_forest_ha,predicted_count,pi90_low,pi90_high,heat_coefficient,heat_p_value,prevention_coefficient,prevention_p_value,r2_fit_log_scale
2026,log-linear heatwave_days + prevention_lag2,15.0,7.376818235386387,19.886429042276756,6.955033533508444,53.83860203737743,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,18.0,7.376818235386387,23.152865594815328,8.170954057416523,62.60962150600366,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,20.0,7.376818235386387,25.609597848672912,9.06087318646817,69.37865248321091,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,22.0,7.376818235386387,28.316219017096387,10.017917392231622,77.0039155189462,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,25.0,7.376818235386387,32.9009936181467,11.586543488907573,90.3100065407531,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,30.0,7.376818235386387,42.19033210623814,14.585018290766506,118.6921782602156,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,33.0,7.376818235386387,48.9448845106983,16.63556457550136,140.44664765948247,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,35.0,7.376818235386387,54.025077095339846,18.116104858439034,157.38786885558713,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,40.0,7.376818235386387,69.10270497343045,22.249113788451872,210.3796374910802,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
2026,log-linear heatwave_days + prevention_lag2,45.0,7.376818235386387,88.31181025111246,27.065423216384414,283.21447233598207,0.0484344704281452,0.0008830516039998156,0.10752298154757325,0.06118850790333618,0.5104409052965622
