family,spec,order,n,MAE,RMSE,NMAE,NRMSE,MASE,R2_pred
baseline,Holt_damped,-,10,12.555053416084986,19.25586669758173,0.5435088058911249,0.833587302925616,0.6026425639720794,-0.23394589595339998
ARIMA,endogenous,"(1, 0, 0)",10,12.835519113000075,18.80996185652511,0.5556501780519513,0.814284063053035,0.6161049174240036,-0.17745903372468153
baseline,AutoReg2,-,10,13.694061910434081,17.52702436105394,0.5928165329192243,0.7587456433356683,0.657314971700836,-0.022318822433286645
baseline,AutoReg1,-,10,14.252678908951676,18.688183103238803,0.616999086967605,0.8090122555514633,0.6841285876296805,-0.16226226396945087
ARIMA,endogenous,"(2, 0, 0)",10,14.295748861595754,19.444117494340055,0.6188635870820672,0.841736688066669,0.6861959453565962,-0.2581906390685247
ARIMA,endogenous,"(0, 0, 1)",10,14.612263291744663,18.520695715596975,0.6325655104651369,0.8017617192899124,0.7013886380037438,-0.14152274548148736
baseline,Holt,-,10,14.718699164986072,21.27649965601909,0.6371731240253711,0.9210605911696575,0.7064975599193315,-0.5065041685666096
baseline,AutoReg3,-,10,14.817337698666076,17.992146646184892,0.6414431904184448,0.7788808071941511,0.7112322095359717,-0.07729821603987586
baseline,SES,-,10,15.308321339930728,18.413226235329127,0.6626978935034947,0.7971093608367587,0.734799424316675,-0.12831342272093194
baseline,mean,-,10,15.308321474277358,18.413226148746304,0.6626978993193661,0.7971093570885845,0.7347994307653132,-0.12831341210980263
ARIMA,endogenous,"(2, 0, 1)",10,15.457250220966955,19.541199559916844,0.6691450312106907,0.845939374888175,0.7419480106064139,-0.270785983694946
ARIMA,endogenous,"(0, 1, 1)",10,15.661946922209813,21.31702783880191,0.678006360268823,0.9228150579567925,0.7517734522660711,-0.512248913042882
ARIMA,endogenous,"(2, 1, 1)",10,16.011720963331214,22.259787300159868,0.6931480936507018,0.9636271558510765,0.7685626062398984,-0.6489671225277331
ARIMA,endogenous,"(1, 1, 1)",10,16.078402415242653,22.175942538816543,0.696034736590591,0.9599975125028806,0.7717633159316474,-0.6365683632896038
ARIMA,endogenous,"(1, 0, 1)",10,16.43624765849592,20.953977362502442,0.7115258726621609,0.9070985871213177,0.7889398876078042,-0.46117730143520497
ARIMA,endogenous,"(0, 0, 2)",10,17.063975038673295,22.132813505691857,0.738700218124385,0.9581304547918552,0.8190708018563182,-0.6302087712660516
ARIMA,endogenous,"(3, 0, 0)",10,17.521003297570196,20.696970609499914,0.758484991236805,0.8959727536580049,0.8410081582833695,-0.4255535705364679
ARIMA,endogenous,"(1, 0, 2)",10,19.25533306787667,24.09662114106628,0.8335642020725831,1.0431437723405315,0.9242559872580802,-0.9323343552733279
ARIMA,endogenous,"(2, 1, 0)",10,19.464652575891492,25.18465471719124,0.8426256526359953,1.0902447929520016,0.9343033236427917,-1.110775177956481
ARIMA,endogenous,"(2, 0, 3)",9,20.219954665502364,26.092855552449883,0.8124088928103628,1.0483736605895042,0.9705578239441135,-1.2553495003010875
ARIMA,endogenous,"(2, 1, 2)",10,20.338619820484375,28.121718636883248,0.8804597324885011,1.217390417181093,0.9762537513832501,-1.6318049156112573
ARIMA,endogenous,"(3, 1, 2)",9,20.398770179101383,29.810004681251296,0.8195934446960377,1.1977234023717038,0.9791409685968665,-1.943707946458129
baseline,naive,-,10,20.4,26.75070092539633,0.883116883116883,1.1580390010994082,0.9792,-1.381443642051316
ARIMA,endogenous,"(0, 1, 2)",10,20.775367760381744,27.408049852283646,0.8993665697134954,1.1864956646010236,0.9972176524983238,-1.4999207850686065
ARIMA,endogenous,"(1, 1, 0)",10,20.802429054356484,25.776903870708214,0.9005380543011464,1.115883284446243,0.9985165946091112,-1.2112175884712704
ARIMA,endogenous,"(3, 1, 0)",10,22.270269434901653,30.37270078532181,0.9640809279178204,1.314835531832113,1.0689729328752795,-2.0699888615084965
ARIMA,endogenous,"(3, 0, 2)",9,22.29323299382572,25.72306365107825,0.8957102542162119,1.0335159502665368,1.0700751837036346,-1.1918761774656992
ARIMA,endogenous,"(3, 0, 1)",10,22.296173519951708,25.899509216726074,0.9652023168810263,1.121190875182947,1.070216328957682,-1.232302498143961
ARIMA,endogenous,"(1, 1, 2)",10,22.816475904881223,28.48292684954135,0.9877262296485377,1.2330271363437812,1.0951908434342987,-1.6998473224277801
ARIMA,endogenous,"(1, 0, 3)",10,23.31884173896635,26.434113118916468,1.0094736683535215,1.144333901251795,1.1193044034703847,-1.3254096189013667
ARIMA,endogenous,"(0, 1, 0)",10,23.340395996131537,31.56097400859689,1.0104067530792873,1.3662759311080903,1.1203390078143138,-2.314902593668104
ARIMA,endogenous,"(1, 1, 3)",10,23.454298094391316,34.81939958870628,1.0153375798437798,1.5073333155284103,1.1258063085307832,-3.034711929575024
ARIMA,endogenous,"(0, 1, 3)",10,23.908599512848546,30.920269679462095,1.0350043079155213,1.338539812963727,1.1476127766167303,-2.181680179209501
ARIMA,endogenous,"(3, 1, 1)",10,24.230000578239213,32.85146147744592,1.0489177739497495,1.4221411894998235,1.1630400277554822,-2.591528906799272
ARIMA,endogenous,"(0, 0, 3)",10,24.628941663236116,28.602466114452213,1.0661879507894423,1.2382019962966324,1.1821891998353335,-1.7225567167905322
ARIMA,endogenous,"(2, 1, 3)",9,24.899011034321713,35.94011996356824,1.0004066933432831,1.4440226771076525,1.1951525296474423,-3.2788757591464837
ARIMA,endogenous,"(3, 0, 3)",8,32.05104462337111,37.85748972543075,1.2327324855142736,1.456057297131952,1.5384501419218135,-3.3628296143412326
ARIMA,endogenous,"(2, 0, 2)",10,46.298966743134926,85.44221658589768,2.0042842745945855,3.6987972548007653,2.2223504036704766,-23.29489292526024
