family,spec,order,n,MAE,RMSE,NMAE,NRMSE,MASE,R2_pred
ARIMAX,heat_days+prev_lag3,"(0, 0, 0)",8,8.7949324967919,13.36611657571765,0.3382666344919961,0.5140814067583711,0.4221567598460112,0.4561550310025142
ARIMAX,heat_events+invest_lag2,"(0, 0, 0)",9,10.693792352155642,14.146424051347113,0.4296612998633963,0.5683831092059107,0.5133020329034709,0.337075642537089
ARIMAX,heat_events+invest_lag2,"(1, 0, 0)",9,10.735353321751752,15.615862240296595,0.43133116024895435,0.6274230364404881,0.5152969594440842,0.19220237877713064
ARIMAX,heat_events+prev_lag2,"(0, 0, 0)",9,10.77724981611366,13.421849145174658,0.433014501540281,0.5392707245829104,0.5173079911734557,0.4032460006321821
ARIMAX,heat_events+prev_lag1,"(0, 0, 0)",10,12.275512773568373,16.267561826884986,0.5314074793752542,0.7042234557093067,0.5892246131312819,0.11932654067847337
ARIMAX,heat_days+invest_lag3,"(0, 0, 0)",8,12.38909728307452,17.02168303985676,0.4765037416567123,0.6546801169175678,0.594676669587577,0.11799788886043439
ARIMAX,heat_days+invest_lag3,"(1, 0, 0)",8,12.48853262162396,17.43370427149469,0.4803281777547677,0.6705270873651804,0.5994495658379502,0.07478220814023684
ARIMAX,heat_events+prev_lag2,"(1, 0, 0)",9,12.817161776320548,16.44719961795649,0.5149752499414506,0.6608249846500375,0.6152237652633863,0.10390395889475057
ARIMAX,heat_days+prev_lag3,"(1, 0, 0)",8,13.249005787866624,17.43051291905366,0.5095771456871778,0.6704043430405253,0.635952277817598,0.07512091135069576
ARIMAX,heat_events+invest_lag1,"(0, 0, 0)",10,13.724402395962718,18.568246555950832,0.5941299738511999,0.8038201972273087,0.6587713150062106,-0.14739186050311126
ARIMAX,heat_events+invest_lag2,"(0, 1, 1)",9,14.060947999305409,17.231872960766257,0.5649488035435208,0.6923520386022156,0.6749255039666596,0.01636131585903111
ARIMAX,heat_events+invest_lag3,"(0, 0, 0)",8,14.163950990662759,18.36034471993012,0.5447673457947215,0.7061671046126968,0.6798696475518125,-0.026186478644340205
ARIMAX,heat_events+prev_lag1,"(1, 0, 0)",10,14.364975520558053,18.677966084799632,0.6218604121453702,0.8085699603809364,0.6895188249867866,-0.16099177032488687
ARIMAX,heat_events+invest_lag1,"(1, 0, 0)",10,14.456482164771739,18.954464790089297,0.6258217387347073,0.8205396013025669,0.6939111439090435,-0.19561960623892616
ARIMAX,heat_days+prev_lag3,"(0, 1, 1)",8,14.914735485605945,17.961215814333702,0.5736436725233056,0.6908159928589885,0.7159073033090854,0.01794437281865746
ARIMAX,heat_events,"(0, 0, 0)",10,15.693929316774941,22.347213985832013,0.6793908795140666,0.9674118608585287,0.7533086072051972,-0.6619453989436122
ARIMAX,heat_events+invest_lag3,"(1, 0, 0)",8,16.985634016644205,20.331861533989915,0.6532936160247771,0.7819946743842275,0.8153104327989219,-0.25840058885034645
ARIMAX,heat_events+invest_lag1,"(0, 1, 1)",10,17.030915151557675,22.18260706817005,0.7372690541799859,0.9602860202671016,0.8174839272747685,-0.6375521858991244
ARIMAX,heat_days+invest_lag2,"(1, 0, 0)",9,17.067030643777816,21.894285179753158,0.6857289097946444,0.8796811009722251,0.8192174709013352,-0.5879329955063415
ARIMAX,heat_events,"(0, 1, 1)",10,17.510929997302124,24.005510596311506,0.7580489176321266,1.039199592913918,0.840524639870502,-0.9177494724936739
ARIMAX,heat_events+prev_lag2,"(0, 1, 1)",9,17.616884997428336,24.015742806891186,0.7078212722181028,0.964918237776878,0.8456104798765601,-0.9105687922422054
ARIMAX,heat_events,"(1, 0, 0)",10,17.75239866858076,26.89934061044797,0.7685021068649679,1.1644736194999121,0.8521151360918765,-1.4079820469130273
