spec,order,n,MAE,RMSE,NMAE,NRMSE,MASE,R2_pred,heat_coefficient,heat_p_value,prevention_coefficient,prevention_p_value,R2_fit_log,R2_fit_log_adjusted,Skill_MSE_vs_ARIMA100,RMSE_reduction_vs_ARIMA100_pct
calor+prevención t-1,"(0, 0, 0)",8,10.315610178612154,12.931600205450689,0.396754237638929,0.4973692386711803,0.4951492885733834,0.4909397751183796,0.048888983151769615,0.061400700251335545,0.09336620851671082,0.17473452094351993,0.15281561794443033,0.039857700337021074,0.5974674132722431,36.55454415580601
calor+prevención t-2,"(0, 0, 0)",8,16.82639587523036,25.058059956877123,0.6471690721242447,0.9637715368029662,0.8076670020110573,-0.9114349126406354,0.05149991897664271,0.0012268517675406885,0.1314378885748089,0.009868484352967541,0.4442368238288056,0.3648420843757778,-0.5114416765244287,-22.94070426528507
calor+prevención t-3,"(0, 0, 0)",8,8.790968016624621,13.366966655767815,0.33811415448556237,0.5141141021449159,0.42196646479798183,0.45608585212661,0.037683563195774504,0.013025170389402369,0.06703350260304997,0.33223513203185884,0.41758988116179985,0.3279883244174614,0.5699071382915184,34.41853450032688
calor solo,"(0, 0, 0)",8,9.639108715173284,12.853155674647674,0.37073495058358785,0.49435214133260286,0.46267721832831765,0.49709707520022006,0.031121488897268033,0.09939258515316703,,,0.1742006587805921,0.12562422694415631,0.6023362162312224,36.93941137534652
"ARIMA(1,0,0)","(1, 0, 0)",8,13.97158720721889,20.382232318115,0.5373687387391881,0.7839320122351924,0.6706361859465068,-0.2646435137583305,,,,,,,0.0,0.0
